TimeStep,Station_PM,Speed
1512,27,68.5
1512,22,69.5
1512,11,71.3
1512,4,68.9
1512,0,69.3
1512,15,71.4
1512,24,68.6
1512,3,69.7
1512,12,71.1
1512,25,70.0
1512,1,70.8
1512,18,69.6
1512,20,73.2
1513,26,67.8
1513,27,60.6
1513,22,67.8
1513,11,69.1
1513,4,67.5
1513,0,68.8
1513,15,71.2
1513,24,69.2
1513,3,66.8
1513,12,70.5
1513,25,70.1
1513,1,70.7
1513,18,69.2
1513,20,68.1
1514,26,70.9
1514,27,65.5
1514,22,69.5
1514,11,68.0
1514,4,66.9
1514,0,69.1
1514,15,73.2
1514,24,68.0
1514,3,69.1
1514,12,71.6
1514,25,73.5
1514,1,70.1
1514,18,69.9
1514,20,68.5
1515,26,70.1
1515,27,61.5
1515,22,72.0
1515,11,66.7
1515,4,66.1
1515,0,69.1
1515,15,73.0
1515,24,69.6
1515,3,67.5
1515,12,69.3
1515,25,71.6
1515,1,70.5
1515,18,72.1
1515,20,69.7
1516,26,70.1
1516,27,67.3
1516,22,73.2
1516,11,69.3
1516,4,67.6
1516,0,68.3
1516,15,68.7
1516,24,70.1
1516,3,70.4
1516,12,67.9
1516,25,72.1
1516,1,70.1
1516,18,72.7
1516,20,73.6
1517,26,73.3
1517,27,68.6
1517,22,73.9
1517,11,69.6
1517,4,68.4
1517,0,69.2
1517,15,70.0
1517,24,73.2
1517,3,70.9
1517,12,69.0
1517,25,73.3
1517,1,70.5
1517,18,72.1
1517,20,73.2
1518,26,73.2
1518,27,71.5
1518,22,74.2
1518,11,70.6
1518,4,68.7
1518,0,69.8
1518,15,71.3
1518,24,73.4
1518,3,71.3
1518,12,69.5
1518,25,73.8
1518,1,69.1
1518,18,68.0
1518,20,71.3
1519,26,72.9
1519,27,72.4
1519,22,69.6
1519,11,69.9
1519,4,68.7
1519,0,70.2
1519,15,70.9
1519,24,73.8
1519,3,72.2
1519,12,69.7
1519,25,73.8
1519,1,69.2
1519,18,70.9
1519,20,69.0
1520,26,73.3
1520,27,72.5
1520,22,69.8
1520,11,73.0
1520,4,67.2
1520,0,69.1
1520,15,72.6
1520,24,68.3
1520,3,71.0
1520,12,69.7
1520,25,70.2
1520,1,70.9
1520,18,71.9
1520,20,72.2
1521,26,68.6
1521,27,69.2
1521,22,72.7
1521,11,70.8
1521,4,68.8
1521,0,69.9
1521,15,72.5
1521,24,72.8
1521,3,71.1
1521,12,70.9
1521,25,71.2
1521,1,69.5
1521,18,72.1
1521,20,72.7
1522,26,73.2
1522,27,72.3
1522,22,73.1
1522,11,70.1
1522,4,70.2
1522,0,70.7
1522,15,73.5
1522,24,70.3
1522,3,64.5
1522,12,71.5
1522,25,73.7
1522,1,69.7
1522,18,73.1
1522,20,70.6
1523,26,70.6
1523,27,68.3
1523,22,74.2
