TimeStep,Station_PM,occu
32,6,
32,7,0.023
32,8,
32,9,0.042374999999999996
32,10,
32,11,0.038375000000000006
32,12,
32,13,0.061
32,14,0.035125
32,15,0.056875
32,16,0.04675
33,0,0.035250000000000004
33,1,0.031625
33,2,
33,3,
33,4,0.048
33,5,
33,6,
33,7,0.044875
33,8,
33,9,0.0605
33,10,
33,11,0.05325
33,12,
33,13,0.048375
33,14,0.035125
33,15,0.020624999999999998
33,16,0.056249999999999994
34,0,0.037
34,1,0.029375000000000002
34,2,
34,3,
34,4,0.03266666666666667
34,5,
34,6,
34,7,0.059875
34,8,
34,9,0.026375
34,10,
34,11,0.04975
34,12,
34,13,0.055
34,14,0.049999999999999996
34,15,0.057625
34,16,0.03875
35,0,0.0375
35,1,0.0375
35,2,
35,3,
35,4,0.02416666666666667
35,5,
35,6,
35,7,0.041
35,8,
35,9,0.036875
35,10,
35,11,0.058125
35,12,
35,13,0.020874999999999998
35,14,0.034333333333333334
35,15,0.059750000000000004
35,16,0.036875
36,0,0.030875
36,1,0.017
36,2,
36,3,
36,4,0.033875
36,5,
36,6,
36,7,0.034
36,8,
36,9,0.058499999999999996
36,10,
36,11,0.020375
36,12,
36,13,0.050375
36,14,0.029833333333333333
36,15,0.0485
36,16,0.064625
37,0,0.034125
37,1,0.034875
37,2,
37,3,
37,4,0.034749999999999996
37,5,
37,6,
37,7,0.013000000000000001
37,8,
37,9,0.061625
37,10,
37,11,0.044833333333333336
37,12,
37,13,0.06775
37,14,0.034
37,15,0.02425
37,16,0.05
38,0,0.0385
38,1,0.0225
38,2,
38,3,
38,4,0.04425
38,5,
38,6,
38,7,0.032125
38,8,
38,9,0.052
38,10,
38,11,0.067375
38,12,
38,13,0.0375
38,14,0.055125
38,15,0.053625
38,16,0.028874999999999998
39,0,0.043
39,1,0.044375000000000005
39,2,
39,3,
39,4,0.024
39,5,
39,6,
39,7,0.02825
39,8,
39,9,0.019125000000000003
39,10,
39,11,0.046
39,12,
39,13,0.029249999999999998
39,14,0.0295
39,15,0.05725
39,16,0.064625
40,0,0.045125
40,1,0.0305
40,2,
40,3,
40,4,0.04975
40,5,
40,6,
40,7,0.045125
40,8,
40,9,0.033625
40,10,
40,11,0.039375
40,12,
40,13,0.07
40,14,0.030375
40,15,0.03937499999999999
40,16,0.056249999999999994
41,0,0.057749999999999996
41,1,0.036500000000000005
41,2,
41,3,
41,4,0.026125
41,5,
41,6,
41,7,0.04475
41,8,
41,9,0.032625
41,10,
41,11,0.024
41,12,
41,13,0.049375
41,14,0.05575
41,15,0.03625
41,16,0.034875
42,0,0.02425
42,1,0.044
42,2,
42,3,
42,4,0.042375
42,5,
42,6,
42,7,0.043625000000000004
42,8,
42,9,0.044
42,10,
42,11,0.038875
42,12,
42,13,0.035875
42,14,0.038125000000000006
42,15,0.069
42,16,0.036625
43,0,0.05025
43,1,0.027375
43,2,
43,3,
43,4,0.03225
43,5,
43,6,
43,7,0.017125
43,8,
43,9,0.04225
43,10,
43,11,0.031375
43,12,
43,13,0.02775
43,14,0.0285
43,15,0.04225
43,16,0.056625
44,0,0.04
44,1,0.031625
44,2,
44,3,
44,4,0.047375
44,5,
44,6,
44,7,0.043
44,8,
44,9,0.071875
44,10,
44,11,0.045625000000000006
44,12,
44,13,0.036
44,14,0.025375
44,15,0.03125
