TimeStep,Station_PM,Occupancy
26,5,0.0054
26,24,0.0108
26,21,0.0108
27,2,0.0086
27,6,0.0081
27,15,0.0244
27,19,0.0144
27,0,0.0032
27,4,0.0125
27,7,0.0088
27,10,0.017
27,11,0.0228
27,12,0.0203
27,13,0.0518
27,14,0.0173
27,17,0.0132
27,22,0.0087
27,8,0.0076
27,1,0.0068
27,20,0.0101
27,23,0.0135
27,3,0.0086
27,5,0.0068
27,24,0.0113
27,21,0.0102
28,2,0.0063
28,6,0.0071
28,15,0.023
28,19,0.0184
28,0,0.0031
28,4,0.0105
28,7,0.0082
28,10,0.0135
28,11,0.017
28,12,0.0207
28,13,0.0314
28,14,0.0149
28,17,0.0165
28,22,0.0114
28,8,0.0078
28,1,0.0048
28,20,0.0089
28,23,0.0125
28,3,0.0075
28,5,0.0056
28,24,0.0102
28,21,0.0119
29,2,0.0065
29,6,0.0072
29,15,0.019
29,19,0.0086
29,0,0.0041
29,4,0.011
29,7,0.0116
29,10,0.0183
29,11,0.0226
29,12,0.0165
29,13,0.0199
29,14,0.0123
29,17,0.014
29,22,0.009
29,8,0.0092
29,1,0.0054
29,20,0.0123
29,23,0.015
29,3,0.0083
29,5,0.0057
29,24,0.0102
29,21,0.0096
30,2,0.0063
30,6,0.011
30,15,0.0244
30,19,0.0155
30,0,0.0045
30,4,0.0106
30,7,0.0102
30,10,0.0166
30,11,0.022
30,12,0.0206
30,13,0.0234
30,14,0.0147
30,17,0.0112
30,22,0.0092
30,8,0.0083
30,1,0.0057
30,20,0.0096
30,23,0.0103
30,3,0.0062
30,5,0.0051
30,24,0.0059
30,21,0.0108
31,2,0.0059
31,6,0.0089
31,15,0.0552
31,19,0.0125
31,0,0.0031
31,4,0.0107
31,7,0.0102
31,10,0.0194
31,11,0.0146
31,12,0.0146
31,13,0.0517
31,14,0.0128
31,17,0.0155
31,22,0.0103
31,8,0.0085
31,1,0.0053
31,20,0.0071
31,23,0.0134
31,3,0.0066
31,5,0.0053
31,24,0.0084
31,21,0.0109
32,2,0.0069
32,6,0.008
32,15,0.0189
32,19,0.0135
32,0,0.0047
32,4,0.0084
32,7,0.0083
32,10,0.017
32,11,0.0229
32,12,0.0219
32,13,0.0213
32,14,0.0181
32,17,0.0121
32,22,0.0061
32,8,0.009
