TimeStep,Station_PM,Occupancy
1505,12,0.0146
1505,25,0.0169
1505,1,0.0144
1505,18,0.0192
1505,20,0.019
1506,26,0.0217
1506,27,0.0271
1506,22,0.0189
1506,11,0.0226
1506,4,0.0175
1506,0,0.0274
1506,15,0.0142
1506,24,0.0143
1506,3,0.0186
1506,12,0.0147
1506,25,0.0198
1506,1,0.0218
1506,18,0.0255
1506,20,0.0198
1507,26,0.0182
1507,27,0.0158
1507,22,0.02
1507,11,0.0232
1507,4,0.0285
1507,0,0.0223
1507,15,0.0201
1507,24,0.0198
1507,3,0.0238
1507,12,0.0173
1507,25,0.0155
1507,1,0.018
1507,18,0.0191
1507,20,0.0343
1508,26,0.0274
1508,27,0.0241
1508,22,0.0304
1508,11,0.0166
1508,4,0.0202
1508,0,0.015
1508,15,0.0215
1508,24,0.0252
1508,3,0.0228
1508,12,0.0171
1508,25,0.0233
1508,1,0.0193
1508,18,0.0224
1508,20,0.0251
1509,26,0.0248
1509,27,0.03
1509,22,0.0244
1509,11,0.0244
1509,4,0.0191
1509,0,0.0258
1509,15,0.0241
1509,24,0.0285
1509,3,0.0161
1509,12,0.0178
1509,25,0.0212
1509,1,0.0137
1509,18,0.0238
1509,20,0.0292
1510,26,0.0255
1510,27,0.0238
1510,22,0.0277
1510,11,0.0267
1510,4,0.0174
1510,0,0.032
1510,15,0.0183
1510,24,0.0216
1510,3,0.0186
1510,12,0.0205
1510,25,0.0182
1510,1,0.0277
1510,18,0.0241
1510,20,0.0254
1511,26,0.02
1511,27,0.0234
1511,22,0.0235
1511,11,0.02
1511,4,0.0335
1511,0,0.0179
1511,15,0.0278
1511,24,0.029
1511,3,0.0388
1511,12,0.0203
1511,25,0.0253
1511,1,0.0222
1511,18,0.0197
1511,20,0.0314
1512,26,0.0304
1512,27,0.0293
1512,22,0.027
1512,11,0.0182
1512,4,0.0214
1512,0,0.0223
1512,15,0.0227
1512,24,0.0268
1512,3,0.0194
1512,12,0.0133
1512,25,0.0214
1512,1,0.0195
1512,18,0.0345
1512,20,0.0248
1513,26,0.0259
