TimeStep,Station_Number,v_x
2.0,75.0,0.012598796
3.0,294.0,0.015279667
3.0,181.0,0.029342702
3.0,152.0,0.061394855
3.0,118.0,0.086217694
3.0,286.0,0.0026615653
3.0,281.0,-7.26562e-05
3.0,276.0,-0.0017973687
3.0,272.0,-0.003327636
3.0,258.0,-0.011663267
3.0,256.0,-0.013251256
3.0,252.0,-0.016796153
3.0,224.0,-0.04552818
3.0,216.0,-0.039943114
3.0,208.0,-0.02570526
3.0,207.0,-0.023596156
3.0,201.0,-0.010418973
3.0,192.0,0.009194105
3.0,186.0,0.021066729
3.0,173.0,0.035464082
3.0,144.0,0.094235435
3.0,124.0,0.19177477
3.0,122.0,0.17726688
3.0,109.0,-0.46638587
3.0,107.0,-0.4216152
3.0,97.0,-0.033232857
3.0,89.0,0.0007602633
3.0,74.0,0.01085997
3.0,136.0,0.1536122
3.0,99.0,-0.058398508
3.0,79.0,0.009626644
3.0,199.0,-0.005972035
3.0,297.0,0.023874197
3.0,23.0,-0.63912743
3.0,0.0,-14.082737
3.0,17.0,0.25995633
3.0,5.0,0.3931965
3.0,12.0,-0.75495946
3.0,7.0,-0.23763385
3.0,10.0,-0.535954
3.0,45.0,0.038500667
3.0,157.0,0.047156904
3.0,175.0,0.035105016
3.0,247.0,-0.022030842
3.0,234.0,-0.03859473
3.0,268.0,-0.0052271467
3.0,264.0,-0.0075166672
3.0,226.0,-0.04521746
3.0,229.0,-0.0436003
3.0,212.0,-0.033566266
3.0,196.0,0.0006346833
3.0,220.0,-0.044089183
3.0,170.0,0.03473521
3.0,148.0,0.0756465
3.0,77.0,0.010315673
3.0,161.0,0.038701586
3.0,132.0,0.18048607
3.0,128.0,0.19162099
3.0,117.0,0.04457301
3.0,92.0,-0.0059825266
3.0,69.0,0.009703726
3.0,65.0,0.0046235174
3.0,22.0,-0.34571564
3.0,52.0,0.8007562
3.0,60.0,-0.021392599
3.0,56.0,0.0068808496
3.0,58.0,-0.03716
3.0,75.0,0.010751447
4.0,294.0,0.012618033
4.0,181.0,0.032988034
4.0,152.0,0.08106784
4.0,118.0,0.027735172
4.0,286.0,0.0052252654
4.0,281.0,0.0024214908
4.0,276.0,-0.00056421384
4.0,272.0,-0.0032664929
4.0,258.0,-0.0142454365
4.0,256.0,-0.015947156
4.0,252.0,-0.019487765
4.0,224.0,-0.040084302
4.0,216.0,-0.032898754
4.0,208.0,-0.019387975
4.0,207.0,-0.017490234
4.0,201.0,-0.005775704
4.0,192.0,0.012196774
4.0,186.0,0.02399164
4.0,173.0,0.041501425
4.0,144.0,0.1285707
4.0,124.0,0.15295787
4.0,122.0,0.1293381
4.0,109.0,-0.5241068
4.0,107.0,-0.43508288
4.0,97.0,-0.027767787
