TimeStep,Station_Number,q_x
8.0,208.0,0.06105215
8.0,207.0,0.09686816
8.0,201.0,0.33365402
8.0,192.0,0.6265766
8.0,186.0,0.6661481
8.0,173.0,0.3608436
8.0,144.0,-0.681492
8.0,124.0,-0.88715744
8.0,122.0,-0.82378507
8.0,109.0,3.5747447
8.0,107.0,2.950202
8.0,97.0,-0.5629744
8.0,89.0,0.8861168
8.0,74.0,-0.7595145
8.0,136.0,-0.9038516
8.0,99.0,-0.57955694
8.0,79.0,1.9937143
8.0,199.0,0.4128574
8.0,297.0,-0.7244853
8.0,23.0,-16.24564
8.0,0.0,-3.2076645
8.0,17.0,6.24044
8.0,5.0,-31.271778
8.0,12.0,-0.9186917
8.0,7.0,-32.40227
8.0,10.0,-13.941057
8.0,45.0,-6.831653
8.0,157.0,-0.103049636
8.0,175.0,0.41625807
8.0,247.0,-0.2304807
8.0,234.0,-0.25631785
8.0,268.0,-0.32989407
8.0,264.0,-0.29521406
8.0,226.0,-0.25596845
8.0,229.0,-0.26105618
8.0,212.0,-0.06382892
8.0,196.0,0.52069706
8.0,220.0,-0.21502894
8.0,170.0,0.28945237
8.0,148.0,-0.5128729
8.0,77.0,0.8391831
8.0,161.0,0.05811152
8.0,132.0,-0.9262134
8.0,128.0,-0.9133917
8.0,117.0,0.07411635
8.0,92.0,0.43910807
8.0,69.0,-0.6370551
8.0,65.0,-4.1523075
8.0,22.0,-8.736874
8.0,52.0,-14.584717
8.0,60.0,0.89569545
8.0,56.0,-4.076906
8.0,58.0,-1.0156735
8.0,75.0,-0.54520094
9.0,294.0,-0.6813221
9.0,181.0,0.29452038
9.0,152.0,-0.4382314
9.0,118.0,0.0865874
9.0,286.0,-0.5579102
9.0,281.0,-0.50060236
9.0,276.0,-0.44943896
9.0,272.0,-0.41013664
9.0,258.0,-0.29544446
9.0,256.0,-0.2848599
9.0,252.0,-0.2692247
9.0,224.0,-0.11881132
9.0,216.0,0.14126974
9.0,208.0,0.5150158
9.0,207.0,0.5598891
9.0,201.0,0.76011306
9.0,192.0,0.7215544
9.0,186.0,0.5074116
9.0,173.0,0.020392857
9.0,144.0,-0.6700616
9.0,124.0,-0.48140743
9.0,122.0,-0.39931923
9.0,109.0,2.6480722
9.0,107.0,2.094443
9.0,97.0,-0.23764972
9.0,89.0,1.8658738
9.0,74.0,-0.8184621
9.0,136.0,-0.665195
9.0,99.0,-0.73722947
9.0,79.0,-0.89976645
9.0,199.0,0.789386
9.0,297.0,-0.74278146
9.0,23.0,-5.9316406
9.0,0.0,-9.372065
9.0,17.0,24.607862
9.0,5.0,-140.5069
9.0,12.0,-8.414782
9.0,7.0,199.38153
9.0,10.0,3.4954743
9.0,45.0,1.570484
9.0,157.0,-0.26915836
9.0,175.0,0.07443806
9.0,247.0,-0.25907838
9.0,234.0,-0.23960763
9.0,268.0,-0.3722548
9.0,264.0,-0.33746833
9.0,226.0,-0.15834685
9.0,229.0,-0.20131695
9.0,212.0,0.3241806
9.0,196.0,0.79167694
9.0,220.0,-0.009495653
9.0,170.0,-0.038502306
9.0,148.0,-0.5728837
9.0,77.0,-0.2815132
9.0,161.0,-0.16460884
9.0,132.0,-0.60070467
9.0,128.0,-0.5475211
9.0,117.0,0.32425192
9.0,92.0,1.2445419
9.0,69.0,-4.5423427
9.0,65.0,4.5975533
9.0,22.0,-10.941709
9.0,52.0,-33.886753
9.0,60.0,-6.782544
9.0,56.0,4.870739
9.0,58.0,-16.342836
9.0,75.0,-0.3860963
10.0,294.0,-0.72162133
10.0,181.0,0.041205477
10.0,152.0,-0.39041883
10.0,118.0,0.017790377
10.0,286.0,-0.59809655
10.0,281.0,-0.5437267
10.0,276.0,-0.49454904
10.0,272.0,-0.45445555
10.0,258.0,-0.31324056
10.0,256.0,-0.29397905
10.0,252.0,-0.25477707
10.0,224.0,0.33394027
10.0,216.0,0.5104401
10.0,208.0,0.5510117
10.0,207.0,0.54706824
10.0,201.0,0.49080166
10.0,192.0,0.3220477
10.0,186.0,0.1706692
10.0,173.0,-0.12095292
10.0,144.0,-0.42980725
10.0,124.0,-0.1928342
10.0,122.0,-0.18473631
10.0,109.0,1.8481066
10.0,107.0,1.4846874
10.0,97.0,0.58235776
10.0,89.0,0.9889715
10.0,74.0,-3.3290567
10.0,136.0,-0.2684244
10.0,99.0,-0.14428163
10.0,79.0,-1.2071007
10.0,199.0,0.46123955
10.0,297.0,-0.783495
10.0,23.0,-18.184288
10.0,0.0,-11.236313
10.0,17.0,5.9751043
10.0,5.0,-111.41432
10.0,12.0,-14.541466
10.0,7.0,-7.286603
10.0,10.0,30.748787
10.0,45.0,2.3083377
10.0,157.0,-0.28477257
10.0,175.0,-0.08920038
10.0,247.0,-0.19987848
10.0,234.0,0.04151559
10.0,268.0,-0.41327775
10.0,264.0,-0.37234846
10.0,226.0,0.27533844
10.0,229.0,0.18452081
10.0,212.0,0.54789716
10.0,196.0,0.4079909
10.0,220.0,0.4370614
10.0,170.0,-0.1537731
10.0,148.0,-0.44235444
10.0,77.0,-2.8149462
10.0,161.0,-0.21504225
10.0,132.0,-0.2033492
10.0,128.0,-0.18242815
10.0,117.0,0.14824744
10.0,92.0,2.1723752
10.0,69.0,5.322504
10.0,65.0,0.29079437
10.0,22.0,-27.372211
10.0,52.0,-46.149025
10.0,60.0,-7.958456
10.0,56.0,8.844794
10.0,58.0,-12.996611
10.0,75.0,-3.8402145
11.0,294.0,-0.7521887
11.0,181.0,-0.03254582
11.0,152.0,-0.18064173
11.0,118.0,-0.1090402
11.0,286.0,-0.62861925
11.0,281.0,-0.5724161
11.0,276.0,-0.51382446
11.0,272.0,-0.45812088
11.0,258.0,-0.18049851
11.0,256.0,-0.12921941
11.0,252.0,-0.019817613
11.0,224.0,0.33148828
11.0,216.0,0.2608426
11.0,208.0,0.21540406
11.0,207.0,0.21199486
11.0,201.0,0.19405621
11.0,192.0,0.13322923
11.0,186.0,0.050736602
11.0,173.0,-0.14801756
11.0,144.0,-0.09111585
11.0,124.0,-0.25527307
11.0,122.0,-0.27008015
11.0,109.0,1.6644899
11.0,107.0,1.4191976
11.0,97.0,1.1548539
11.0,89.0,-0.7046202
11.0,74.0,3.7120733
11.0,136.0,-0.06472474
11.0,99.0,0.7628467
11.0,79.0,-0.9986265
11.0,199.0,0.18613014
11.0,297.0,-0.81424034
11.0,23.0,-23.689022
11.0,0.0,-11.034664
11.0,17.0,-1.512404
11.0,5.0,-71.71743
11.0,12.0,-1.1390605
11.0,7.0,-9.62435
11.0,10.0,32.91332
11.0,45.0,0.7682057
11.0,157.0,-0.18300651
11.0,175.0,-0.12485114
11.0,247.0,0.120597094
11.0,234.0,0.3576807
11.0,268.0,-0.3926655
11.0,264.0,-0.3166324
11.0,226.0,0.34684885
11.0,229.0,0.36254716
11.0,212.0,0.23360959
11.0,196.0,0.16908048
11.0,220.0,0.2955612
11.0,170.0,-0.16994882
11.0,148.0,-0.14359961
11.0,77.0,2.6281242
11.0,161.0,-0.17125909
11.0,132.0,-0.1097046
11.0,128.0,-0.18124782
11.0,117.0,0.009775966
11.0,92.0,-1.2868422
11.0,69.0,-1.3848805
11.0,65.0,-0.16749835
11.0,22.0,-0.117358565
11.0,52.0,-135.62431
11.0,60.0,-3.6840363
11.0,56.0,6.2789545
11.0,58.0,-11.800552
11.0,75.0,4.106103
12.0,294.0,-0.7374885
12.0,181.0,-0.046573725
12.0,152.0,0.007504845
12.0,118.0,0.16781372
12.0,286.0,-0.591725
12.0,281.0,-0.5009012
12.0,276.0,-0.38853455
12.0,272.0,-0.280051
12.0,258.0,0.11566493
12.0,256.0,0.15503699
12.0,252.0,0.21017596
12.0,224.0,0.07976599
12.0,216.0,0.055198215
12.0,208.0,0.06692921
12.0,207.0,0.06999193
12.0,201.0,0.08714859
12.0,192.0,0.07121131
12.0,186.0,0.015690694
12.0,173.0,-0.125115
12.0,144.0,-0.040366467
12.0,124.0,-0.20029691
12.0,122.0,-0.17065123
12.0,109.0,1.5917778
12.0,107.0,1.4389801
12.0,97.0,-1.409182
12.0,89.0,-3.0666678
12.0,74.0,-2.4913008
12.0,136.0,-0.08417463
12.0,99.0,-1.3682041
12.0,79.0,2.0714273
12.0,199.0,0.08978528
12.0,297.0,-0.80177873
12.0,23.0,18.366451
12.0,0.0,-10.770462
12.0,17.0,-2.9257264
12.0,5.0,-50.10569
12.0,12.0,19.11813
12.0,7.0,-9.411096
12.0,10.0,34.40527
12.0,45.0,-1.4069513
12.0,157.0,0.0032367632
12.0,175.0,-0.112577096
12.0,247.0,0.23514396
12.0,234.0,0.15709719
12.0,268.0,-0.16045907
12.0,264.0,-0.039823204
12.0,226.0,0.09192203
12.0,229.0,0.11388131
12.0,212.0,0.05741927
12.0,196.0,0.08786952
12.0,220.0,0.062480386
12.0,170.0,-0.12699604
12.0,148.0,-0.013948534
12.0,77.0,-1.3102354
12.0,161.0,-0.028233673
12.0,132.0,-0.1220258
12.0,128.0,-0.17228918
12.0,117.0,0.34853858
12.0,92.0,-1.4005815
12.0,69.0,1.0226552
12.0,65.0,2.5629063
12.0,22.0,35.498653
12.0,52.0,-118.988174
12.0,60.0,-2.8079088
12.0,56.0,-1.5366216
12.0,58.0,-15.321342
12.0,75.0,-2.775665
13.0,294.0,-0.58379716
13.0,181.0,-0.024415169
13.0,152.0,-0.21883857
13.0,118.0,0.71579707
13.0,286.0,-0.3692664
13.0,281.0,-0.24406451
13.0,276.0,-0.13746192
13.0,272.0,-0.07319983
13.0,258.0,0.01011391
13.0,256.0,0.011314705
13.0,252.0,0.010851707
13.0,224.0,-0.020927012
13.0,216.0,-0.012743562
13.0,208.0,0.015205
13.0,207.0,0.019639574
13.0,201.0,0.044701565
13.0,192.0,0.04756385
13.0,186.0,0.013000924
13.0,173.0,-0.03977084
13.0,144.0,0.043133408
13.0,124.0,0.12662998
13.0,122.0,0.29255068
13.0,109.0,0.9221983
13.0,107.0,1.229026
13.0,97.0,-3.1699274
13.0,89.0,6.442993
13.0,74.0,0.44662002
13.0,136.0,0.12021618
13.0,99.0,-1.7062876
13.0,79.0,-3.8915594
13.0,199.0,0.050454535
13.0,297.0,-0.66328055
13.0,23.0,33.0857
13.0,0.0,-11.084184
13.0,17.0,-5.9196873
13.0,5.0,-38.82679
13.0,12.0,19.82078
13.0,7.0,-9.446291
13.0,10.0,18.324924
13.0,45.0,1.0521494
13.0,157.0,-0.16756788
13.0,175.0,-0.04538377
13.0,247.0,0.007169783
13.0,234.0,-0.01072026
13.0,268.0,-0.029745415
13.0,264.0,-0.0045365393
13.0,226.0,-0.020175029
13.0,229.0,-0.017562307
13.0,212.0,-0.00092258304
13.0,196.0,0.054228537
13.0,220.0,-0.019313764
13.0,170.0,-0.018921651
13.0,148.0,-0.10772273
13.0,77.0,-1.939177
13.0,161.0,-0.052153192
13.0,132.0,0.072461516
13.0,128.0,0.037882224
13.0,117.0,0.45452118
13.0,92.0,3.1925101
13.0,69.0,3.2065988
13.0,65.0,2.5000339
13.0,22.0,9.474488
13.0,52.0,-132.99527
13.0,60.0,-3.772572
13.0,56.0,-13.539293
13.0,58.0,-13.937869
13.0,75.0,-0.26638526
14.0,294.0,-0.3283629
14.0,181.0,0.039718844
14.0,152.0,-0.1361166
14.0,118.0,-2.8621478
14.0,286.0,-0.28800502
14.0,281.0,-0.27220216
14.0,276.0,-0.25898993
14.0,272.0,-0.24645695
14.0,258.0,-0.17637387
14.0,256.0,-0.16407035
14.0,252.0,-0.13960563
14.0,224.0,-0.054761544
14.0,216.0,-0.040987056
14.0,208.0,-0.0123905875
14.0,207.0,-0.007731287
14.0,201.0,0.022294573
14.0,192.0,0.054220226
14.0,186.0,0.05420164
14.0,173.0,-0.07294075
14.0,144.0,0.58304673
14.0,124.0,0.8507778
14.0,122.0,0.71547675
14.0,109.0,1.8128316
14.0,107.0,1.3994583
14.0,97.0,10.326172
14.0,89.0,0.2541536
14.0,74.0,2.4399362
14.0,136.0,0.5251617
14.0,99.0,-3.0250804
14.0,79.0,-0.55812824
14.0,199.0,0.031831756
14.0,297.0,-0.3398663
14.0,23.0,0.355721
14.0,0.0,-11.796288
14.0,17.0,-13.941633
14.0,5.0,-35.600555
14.0,12.0,33.767464
14.0,7.0,-10.14505
14.0,10.0,23.317614
14.0,45.0,5.001954
14.0,157.0,-0.6685718
14.0,175.0,-0.023795791
14.0,247.0,-0.1116269
14.0,234.0,-0.06721388
14.0,268.0,-0.23054686
14.0,264.0,-0.21100086
14.0,226.0,-0.056948267
14.0,229.0,-0.06016367
14.0,212.0,-0.02877624
14.0,196.0,0.044028796
14.0,220.0,-0.049273327
14.0,170.0,-0.19288284
14.0,148.0,0.32622194
14.0,77.0,0.83177996
14.0,161.0,-0.7519537
14.0,132.0,0.44184172
14.0,128.0,0.49581227
14.0,117.0,-2.610527
14.0,92.0,4.1629934
14.0,69.0,1.5884732
14.0,65.0,0.8690924
14.0,22.0,-10.104261
14.0,52.0,-75.60343
14.0,60.0,-2.877724
14.0,56.0,-27.495026
14.0,58.0,-11.427446
14.0,75.0,2.0156183
15.0,294.0,0.4745317
15.0,181.0,-0.14416113
15.0,152.0,0.26001573
15.0,118.0,-0.028575838
15.0,286.0,-0.1048198
15.0,281.0,-0.3102777
15.0,276.0,-0.3615313
15.0,272.0,-0.35095713
15.0,258.0,-0.23917472
15.0,256.0,-0.22207752
15.0,252.0,-0.18914434
15.0,224.0,-0.07578705
15.0,216.0,-0.061858885
15.0,208.0,-0.027561296
15.0,207.0,-0.020996675
15.0,201.0,0.030345587
15.0,192.0,0.11660108
15.0,186.0,0.07864135
15.0,173.0,-0.94894826
15.0,144.0,1.1195965
15.0,124.0,-1.3350642
15.0,122.0,-2.8214357
15.0,109.0,2.7178848
15.0,107.0,-0.2155624
15.0,97.0,6.5737123
15.0,89.0,-6.420116
15.0,74.0,0.52342063
15.0,136.0,1.067772
15.0,99.0,11.9865
15.0,79.0,1.4373641
