TimeStep,Station_Number,k_t
5.0,247.0,-0.059088934
5.0,234.0,-0.032131035
5.0,268.0,-0.045684114
5.0,264.0,-0.05339289
5.0,226.0,-0.0014591068
5.0,229.0,-0.0143075865
5.0,212.0,0.080135144
5.0,196.0,0.1869081
5.0,220.0,0.029322201
5.0,170.0,0.3058066
5.0,148.0,0.19505896
5.0,77.0,-0.05131934
5.0,161.0,0.32551938
5.0,132.0,-0.6930129
5.0,128.0,-1.0111727
5.0,117.0,-1.500574
5.0,92.0,0.024873644
5.0,69.0,-0.041544847
5.0,65.0,-0.00584096
5.0,22.0,0.15486954
5.0,52.0,-0.7923537
5.0,60.0,-0.06384584
5.0,56.0,-0.3340501
5.0,58.0,-0.16976823
5.0,75.0,-0.06259226
6.0,294.0,-0.008610316
6.0,181.0,0.22482726
6.0,152.0,-0.5111665
6.0,118.0,-0.71733826
6.0,286.0,-0.028910195
6.0,281.0,-0.03884126
6.0,276.0,-0.04600732
6.0,272.0,-0.049367387
6.0,258.0,-0.044223778
6.0,256.0,-0.041666143
6.0,252.0,-0.03551291
6.0,224.0,0.0447781
6.0,216.0,0.08601448
6.0,208.0,0.13629502
6.0,207.0,0.14287272
6.0,201.0,0.1809886
6.0,192.0,0.22287184
6.0,186.0,0.23250382
6.0,173.0,0.16635926
6.0,144.0,-0.85339165
6.0,124.0,-0.8824355
6.0,122.0,-0.8413156
6.0,109.0,-0.094252974
6.0,107.0,0.008759648
6.0,97.0,0.10146353
6.0,89.0,-0.009505108
6.0,74.0,0.062198125
6.0,136.0,-1.0013789
6.0,99.0,0.109886855
6.0,79.0,-0.01804344
6.0,199.0,0.19242966
6.0,297.0,0.000596758
6.0,23.0,-0.38611862
6.0,0.0,0.21198523
6.0,17.0,0.029899213
6.0,5.0,-2.1969078
6.0,12.0,0.10935312
6.0,7.0,0.4863789
6.0,10.0,0.3238171
6.0,45.0,-0.055015523
6.0,157.0,-0.27879235
6.0,175.0,0.18803263
6.0,247.0,-0.026111284
6.0,234.0,0.0071025807
6.0,268.0,-0.050484266
6.0,264.0,-0.049424008
6.0,226.0,0.03611308
6.0,229.0,0.024243329
6.0,212.0,0.11036163
6.0,196.0,0.20756693
6.0,220.0,0.06406322
6.0,170.0,0.122158065
6.0,148.0,-0.69696003
6.0,77.0,0.011387341
6.0,161.0,-0.1178249
6.0,132.0,-0.9915419
6.0,128.0,-0.94685864
6.0,117.0,-0.67207193
6.0,92.0,0.036567654
6.0,69.0,0.115441814
6.0,65.0,0.032938756
6.0,22.0,-0.7562929
6.0,52.0,-0.39908215
6.0,60.0,-0.37524423
6.0,56.0,-0.6101788
6.0,58.0,-0.54724556
6.0,75.0,0.04516095
7.0,294.0,-0.047044627
7.0,181.0,-0.12567285
7.0,152.0,-0.7024702
7.0,118.0,-0.2004186
7.0,286.0,-0.050153267
7.0,281.0,-0.049139313
7.0,276.0,-0.04538294
7.0,272.0,-0.04045481
7.0,258.0,-0.013752634
7.0,256.0,-0.0092647765
7.0,252.0,-7.476099e-05
7.0,224.0,0.08051294
7.0,216.0,0.11477491
7.0,208.0,0.1487701
7.0,207.0,0.15216771
7.0,201.0,0.16236748
7.0,192.0,0.11487846
7.0,186.0,0.013193054
7.0,173.0,-0.42734876
7.0,144.0,-0.5252831
7.0,124.0,-0.24636364
7.0,122.0,-0.24013276
7.0,109.0,0.027620405
7.0,107.0,0.046110377
7.0,97.0,-0.06599708
7.0,89.0,-0.0443975
7.0,74.0,0.21292509
7.0,136.0,-0.33871317
7.0,99.0,-0.03741099
7.0,79.0,0.1726465
7.0,199.0,0.16000423
7.0,297.0,-0.04473553
7.0,23.0,-0.57368404
7.0,0.0,0.2567519
7.0,17.0,0.082210466
7.0,5.0,0.20830607
