TimeStep,Station_Number,k_x
3.0,89.0,0.005974449
3.0,74.0,-0.026365282
3.0,136.0,-0.120443344
3.0,99.0,0.09721589
3.0,79.0,-0.020406015
3.0,199.0,0.024909634
3.0,297.0,-0.06400278
3.0,23.0,0.3179617
3.0,0.0,3.8570793
3.0,17.0,0.11929659
3.0,5.0,-0.30653986
3.0,12.0,0.46664104
3.0,7.0,0.12536436
3.0,10.0,0.44130316
3.0,45.0,-0.20285374
3.0,157.0,-0.029240474
3.0,175.0,-0.009802248
3.0,247.0,-0.012621168
3.0,234.0,-0.0050086975
3.0,268.0,-0.026438389
3.0,264.0,-0.023321576
3.0,226.0,0.0017356128
3.0,229.0,-0.0010862723
3.0,212.0,0.018542014
3.0,196.0,0.02280822
3.0,220.0,0.008491086
3.0,170.0,-0.010099417
3.0,148.0,-0.061048917
3.0,77.0,-0.023455553
3.0,161.0,-0.0176191
3.0,132.0,-0.14967676
3.0,128.0,-0.17900124
3.0,117.0,-0.05041956
3.0,92.0,0.019799814
3.0,69.0,-0.025990916
3.0,65.0,-0.022984147
3.0,22.0,0.256319
3.0,52.0,-1.3728763
3.0,60.0,-0.041794047
3.0,56.0,-0.19492881
3.0,58.0,-0.08412433
3.0,75.0,-0.025639523
4.0,294.0,-0.052252233
4.0,181.0,-0.006748085
4.0,152.0,-0.058664564
4.0,118.0,-0.03203266
4.0,286.0,-0.040441506
4.0,281.0,-0.03505653
4.0,276.0,-0.030088136
4.0,272.0,-0.026297193
4.0,258.0,-0.015345342
4.0,256.0,-0.014208816
4.0,252.0,-0.012288127
4.0,224.0,-0.001454344
4.0,216.0,0.0060912613
4.0,208.0,0.014667703
4.0,207.0,0.01555342
4.0,201.0,0.018612036
4.0,192.0,0.013078148
4.0,186.0,0.0031165984
4.0,173.0,-0.01712428
4.0,144.0,-0.09414816
4.0,124.0,-0.15440321
4.0,122.0,-0.13331848
4.0,109.0,0.53160644
4.0,107.0,0.47550827
4.0,97.0,0.07003628
4.0,89.0,-0.010061745
4.0,74.0,-0.033711173
4.0,136.0,-0.1354584
4.0,99.0,0.1077434
4.0,79.0,-0.03559635
4.0,199.0,0.018513722
4.0,297.0,-0.05913039
4.0,23.0,0.3024327
4.0,0.0,2.1312044
4.0,17.0,0.27700064
4.0,5.0,-0.25509322
4.0,12.0,0.24810919
4.0,7.0,0.0013989955
4.0,10.0,0.20052235
4.0,45.0,-0.12841703
4.0,157.0,-0.038774416
4.0,175.0,-0.01583542
4.0,247.0,-0.010465264
4.0,234.0,-0.006770849
4.0,268.0,-0.022722185
4.0,264.0,-0.01945968
4.0,226.0,-0.002868548
4.0,229.0,-0.004630765
4.0,212.0,0.0105388
4.0,196.0,0.017146552
4.0,220.0,0.0019723903
4.0,170.0,-0.017363999
4.0,148.0,-0.075809285
4.0,77.0,-0.035690628
4.0,161.0,-0.025817499
4.0,132.0,-0.15491417
4.0,128.0,-0.16561112
4.0,117.0,0.011918202
4.0,92.0,0.010724381
4.0,69.0,-0.026721824
4.0,65.0,-0.022647874
4.0,22.0,0.24528329
4.0,52.0,-1.3820269
4.0,60.0,-0.044282183
4.0,56.0,-0.19343638
4.0,58.0,-0.086219996
4.0,75.0,-0.03462563
5.0,294.0,-0.048274737
5.0,181.0,-0.011348528
5.0,152.0,-0.06090568
5.0,118.0,0.031051993
5.0,286.0,-0.03720068
5.0,281.0,-0.031798102
5.0,276.0,-0.02680649
5.0,272.0,-0.0230927
5.0,258.0,-0.0134544
5.0,256.0,-0.01263297
5.0,252.0,-0.011414092
5.0,224.0,-0.006620975
5.0,216.0,-0.00066531636
5.0,208.0,0.0073117483
5.0,207.0,0.008233352
5.0,201.0,0.012021784
5.0,192.0,0.008255981
5.0,186.0,-0.0011599949
5.0,173.0,-0.023357332
5.0,144.0,-0.083721854
5.0,124.0,-0.07041227
5.0,122.0,-0.05185908
5.0,109.0,0.41962165
5.0,107.0,0.35940707
5.0,97.0,0.043662343
5.0,89.0,-0.03022926
5.0,74.0,-0.027760295
5.0,136.0,-0.094202355
5.0,99.0,0.083556116
5.0,79.0,-0.031020336
5.0,199.0,0.012311358
5.0,297.0,-0.05433508
5.0,23.0,0.2695423
5.0,0.0,0.67420584
5.0,17.0,0.35027117
5.0,5.0,-0.5760448
5.0,12.0,0.1835022
5.0,7.0,-0.16387174
5.0,10.0,0.19854428
5.0,45.0,-0.16327761
5.0,157.0,-0.04332275
5.0,175.0,-0.021646988
5.0,247.0,-0.010568688
5.0,234.0,-0.009673312
